,date,sigla_state,city,place_type,confirmed,deaths,order_for_place,is_last,population,codigo_ibge,confirmed_per_100k_inhabitants,death_rate,latitude,longitude,codigo_uf,state
327,2020-03-24,GO,Aparecida de Goiânia,city,2.0,0.0,6.0,False,578179.0,5201405,0.34591,0.0,-16.8198,-49.2469,52.0,Goiás
328,2020-03-23,GO,Aparecida de Goiânia,city,2.0,0.0,5.0,False,578179.0,5201405,0.34591,0.0,-16.8198,-49.2469,52.0,Goiás
329,2020-03-22,GO,Aparecida de Goiânia,city,1.0,0.0,4.0,False,578179.0,5201405,0.17296,0.0,-16.8198,-49.2469,52.0,Goiás
330,2020-03-20,GO,Aparecida de Goiânia,city,2.0,0.0,3.0,False,578179.0,5201405,0.34591,0.0,-16.8198,-49.2469,52.0,Goiás
331,2020-03-19,GO,Aparecida de Goiânia,city,1.0,0.0,2.0,False,578179.0,5201405,0.17296,0.0,-16.8198,-49.2469,52.0,Goiás
332,2020-03-18,GO,Aparecida de Goiânia,city,1.0,0.0,1.0,False,578179.0,5201405,0.17296,0.0,-16.8198,-49.2469,52.0,Goiás
342,2020-04-01,RN,Apodi,city,1.0,0.0,3.0,True,35845.0,2401008,2.78979,0.0,-5.6534900000000015,-37.7946,24.0,Rio Grande do Norte
343,2020-03-31,RN,Apodi,city,1.0,0.0,2.0,False,35845.0,2401008,2.78979,0.0,-5.6534900000000015,-37.7946,24.0,Rio Grande do Norte
344,2020-03-30,RN,Apodi,city,1.0,0.0,1.0,False,35845.0,2401008,2.78979,0.0,-5.6534900000000015,-37.7946,24.0,Rio Grande do Norte
353,2020-04-01,CE,Aquiraz,city,14.0,0.0,16.0,True,80271.0,2301000,17.440920000000002,0.0,-3.89929,-38.3896,23.0,Ceará
354,2020-03-31,CE,Aquiraz,city,14.0,0.0,15.0,False,80271.0,2301000,17.440920000000002,0.0,-3.89929,-38.3896,23.0,Ceará
355,2020-03-30,CE,Aquiraz,city,14.0,0.0,14.0,False,80271.0,2301000,17.440920000000002,0.0,-3.89929,-38.3896,23.0,Ceará
356,2020-03-29,CE,Aquiraz,city,7.0,0.0,13.0,False,80271.0,2301000,8.720460000000001,0.0,-3.89929,-38.3896,23.0,Ceará
357,2020-03-28,CE,Aquiraz,city,7.0,0.0,12.0,False,80271.0,2301000,8.720460000000001,0.0,-3.89929,-38.3896,23.0,Ceará
358,2020-03-27,CE,Aquiraz,city,6.0,0.0,11.0,False,80271.0,2301000,7.47468,0.0,-3.89929,-38.3896,23.0,Ceará
359,2020-03-26,CE,Aquiraz,city,6.0,0.0,10.0,False,80271.0,2301000,7.47468,0.0,-3.89929,-38.3896,23.0,Ceará
360,2020-03-25,CE,Aquiraz,city,6.0,0.0,9.0,False,80271.0,2301000,7.47468,0.0,-3.89929,-38.3896,23.0,Ceará
361,2020-03-24,CE,Aquiraz,city,6.0,0.0,8.0,False,80271.0,2301000,7.47468,0.0,-3.89929,-38.3896,23.0,Ceará
362,2020-03-23,CE,Aquiraz,city,6.0,0.0,7.0,False,80271.0,2301000,7.47468,0.0,-3.89929,-38.3896,23.0,Ceará
363,2020-03-22,CE,Aquiraz,city,5.0,0.0,6.0,False,80271.0,2301000,6.2289,0.0,-3.89929,-38.3896,23.0,Ceará
364,2020-03-21,CE,Aquiraz,city,4.0,0.0,5.0,False,80271.0,2301000,4.9831199999999995,0.0,-3.89929,-38.3896,23.0,Ceará
365,2020-03-20,CE,Aquiraz,city,1.0,0.0,4.0,False,80271.0,2301000,1.2457799999999999,0.0,-3.89929,-38.3896,23.0,Ceará
366,2020-03-18,CE,Aquiraz,city,1.0,0.0,3.0,False,80271.0,2301000,1.2457799999999999,0.0,-3.89929,-38.3896,23.0,Ceará
367,2020-03-17,CE,Aquiraz,city,1.0,0.0,2.0,False,80271.0,2301000,1.2457799999999999,0.0,-3.89929,-38.3896,23.0,Ceará
368,2020-03-16,CE,Aquiraz,city,1.0,0.0,1.0,False,80271.0,2301000,1.2457799999999999,0.0,-3.89929,-38.3896,23.0,Ceará
370,2020-04-02,SE,Aracaju,city,20.0,2.0,12.0,True,657013.0,2800308,3.04408,0.1,-10.9091,-37.0677,28.0,Sergipe
371,2020-04-01,SE,Aracaju,city,19.0,0.0,11.0,False,657013.0,2800308,2.89188,0.0,-10.9091,-37.0677,28.0,Sergipe
372,2020-03-31,SE,Aracaju,city,16.0,0.0,10.0,False,657013.0,2800308,2.43526,0.0,-10.9091,-37.0677,28.0,Sergipe
373,2020-03-30,SE,Aracaju,city,15.0,0.0,9.0,False,657013.0,2800308,2.28306,0.0,-10.9091,-37.0677,28.0,Sergipe
374,2020-03-27,SE,Aracaju,city,13.0,0.0,8.0,False,657013.0,2800308,1.97865,0.0,-10.9091,-37.0677,28.0,Sergipe
375,2020-03-25,SE,Aracaju,city,13.0,0.0,7.0,False,657013.0,2800308,1.97865,0.0,-10.9091,-37.0677,28.0,Sergipe
376,2020-03-24,SE,Aracaju,city,12.0,0.0,6.0,False,657013.0,2800308,1.82645,0.0,-10.9091,-37.0677,28.0,Sergipe
377,2020-03-21,SE,Aracaju,city,7.0,0.0,5.0,False,657013.0,2800308,1.0654299999999999,0.0,-10.9091,-37.0677,28.0,Sergipe
378,2020-03-20,SE,Aracaju,city,5.0,0.0,4.0,False,657013.0,2800308,0.76102,0.0,-10.9091,-37.0677,28.0,Sergipe
379,2020-03-18,SE,Aracaju,city,5.0,0.0,3.0,False,657013.0,2800308,0.76102,0.0,-10.9091,-37.0677,28.0,Sergipe
380,2020-03-16,SE,Aracaju,city,5.0,0.0,2.0,False,657013.0,2800308,0.76102,0.0,-10.9091,-37.0677,28.0,Sergipe
381,2020-03-14,SE,Aracaju,city,1.0,0.0,1.0,False,657013.0,2800308,0.1522,0.0,-10.9091,-37.0677,28.0,Sergipe
387,2020-04-01,ES,Aracruz,city,1.0,0.0,1.0,True,101220.0,3200607,0.98795,0.0,-19.82,-40.2764,32.0,Espírito Santo
397,2020-04-02,MG,Araguari,city,1.0,0.0,2.0,True,117267.0,3103504,0.85275,0.0,-18.6456,-48.1934,31.0,Minas Gerais
398,2020-04-01,MG,Araguari,city,1.0,0.0,1.0,False,117267.0,3103504,0.85275,0.0,-18.6456,-48.1934,31.0,Minas Gerais
401,2020-04-02,TO,Araguaína,city,3.0,0.0,7.0,True,180470.0,1702109,1.6623299999999999,0.0,-7.19238,-48.2044,17.0,Tocantins
402,2020-04-01,TO,Araguaína,city,3.0,0.0,6.0,False,180470.0,1702109,1.6623299999999999,0.0,-7.19238,-48.2044,17.0,Tocantins
403,2020-03-31,TO,Araguaína,city,3.0,0.0,5.0,False,180470.0,1702109,1.6623299999999999,0.0,-7.19238,-48.2044,17.0,Tocantins
404,2020-03-30,TO,Araguaína,city,2.0,0.0,4.0,False,180470.0,1702109,1.10822,0.0,-7.19238,-48.2044,17.0,Tocantins
405,2020-03-29,TO,Araguaína,city,1.0,0.0,3.0,False,180470.0,1702109,0.55411,0.0,-7.19238,-48.2044,17.0,Tocantins
406,2020-03-28,TO,Araguaína,city,1.0,0.0,2.0,False,180470.0,1702109,0.55411,0.0,-7.19238,-48.2044,17.0,Tocantins
407,2020-03-27,TO,Araguaína,city,1.0,0.0,1.0,False,180470.0,1702109,0.55411,0.0,-7.19238,-48.2044,17.0,Tocantins
