,date,sigla_state,city,place_type,confirmed,deaths,order_for_place,is_last,population,codigo_ibge,confirmed_per_100k_inhabitants,death_rate,latitude,longitude,codigo_uf,state
3838,2020-04-02,PA,Itaituba,city,1.0,0.0,8.0,True,101247.0,1503606,0.9876799999999999,0.0,-4.2667,-55.9926,15.0,Pará
3848,2020-04-02,SC,Itajaí,city,19.0,0.0,13.0,True,219536.0,4208203,8.65462,0.0,-26.9101,-48.6705,42.0,Santa Catarina
3865,2020-04-02,BA,Itajuípe,city,3.0,0.0,3.0,True,20491.0,2915502,14.64057,0.0,-14.6788,-39.3698,29.0,Bahia
3871,2020-04-02,BA,Itamaraju,city,1.0,0.0,5.0,True,64486.0,2915601,1.55072,0.0,-17.0378,-39.5386,29.0,Bahia
3891,2020-04-01,SP,Itanhaém,city,2.0,0.0,1.0,True,101816.0,3522109,1.96433,0.0,-24.1736,-46.788,35.0,São Paulo
3902,2020-04-01,SP,Itapecerica da Serra,city,4.0,0.0,2.0,True,175693.0,3522208,2.2767,0.0,-23.7161,-46.8572,35.0,São Paulo
3906,2020-04-02,SC,Itapema,city,2.0,0.0,8.0,True,65312.0,4208302,3.06222,0.0,-27.0861,-48.61600000000001,42.0,Santa Catarina
3914,2020-04-01,ES,Itapemirim,city,1.0,0.0,5.0,True,34348.0,3202801,2.91138,0.0,-21.0095,-40.8307,32.0,Espírito Santo
3926,2020-04-01,SP,Itapevi,city,6.0,0.0,3.0,True,237700.0,3522505,2.52419,0.0,-23.5488,-46.9327,35.0,São Paulo
3953,2020-04-01,SP,Itaquaquecetuba,city,3.0,0.0,2.0,True,370821.0,3523107,0.80902,0.0,-23.4835,-46.3457,35.0,São Paulo
3993,2020-04-02,BA,Itororó,city,1.0,0.0,5.0,True,20382.0,2917102,4.90629,0.0,-15.11,-40.0684,29.0,Bahia
4003,2020-04-02,GO,Itumbiara,city,2.0,0.0,4.0,True,104742.0,5211503,1.90945,0.0,-18.4093,-49.2158,52.0,Goiás
4008,2020-04-01,SP,Itupeva,city,1.0,0.0,3.0,True,61252.0,3524006,1.6326,0.0,-23.1526,-47.0593,35.0,São Paulo
4025,2020-04-02,RS,Ivoti,city,4.0,1.0,14.0,True,24293.0,4310801,16.46565,0.25,-29.5995,-51.1533,43.0,Rio Grande do Sul
4039,2020-04-02,SC,Içara,city,1.0,0.0,11.0,True,56421.0,4207007,1.7723900000000001,0.0,-28.7132,-49.3087,42.0,Santa Catarina
4051,2020-04-02,PE,Jaboatão dos Guararapes,city,7.0,0.0,15.0,True,702298.0,2607901,0.9967299999999999,0.0,-8.11298,-35.015,26.0,Pernambuco
